rank	games	eco	name	pgn
1	26229	B23	Sicilian Defense: Closed, Traditional	1. e4 c5 2. Nc3 Nc6
2	23278	A45	Trompowsky Attack	1. d4 Nf6 2. Bg5
3	20366	A00	Hungarian Opening	1. g3
4	19974	B07	Pirc Defense	1. e4 d6 2. d4 Nf6 3. Nc3 g6
5	19833	A34	English Opening: Symmetrical Variation, Three Knights Variation	1. c4 c5 2. Nf3 Nf6 3. Nc3
6	19236	D90	Grünfeld Defense: Three Knights Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7
7	19010	E60	King's Indian Defense: Fianchetto Variation	1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 d6 6. O-O
8	18751	E97	King's Indian Defense: Orthodox Variation, Aronin-Taimanov Defense	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O Nc6 8. d5 Ne7
9	18397	D85	Grünfeld Defense: Exchange Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7
10	18247	D38	Queen's Gambit Declined: Ragozin Defense	1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Bb4
11	17766	C55	Italian Game: Two Knights Defense, Modern Bishop's Opening	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3
12	17726	B96	Sicilian Defense: Najdorf Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4
13	17100	C47	Four Knights Game	1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6
14	17076	A41	Queen's Pawn Game	1. d4 d6 2. Nf3
15	16336	B30	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6 3. Nc3
16	16049	B42	Sicilian Defense: Kan Variation, Modern Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3
17	15290	A10	English Opening: Great Snake Variation	1. c4 g6
18	15214	C54	Italian Game: Classical Variation, Giuoco Pianissimo	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d3
19	15072	B80	Sicilian Defense: Scheveningen Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6
20	15038	B01	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3
21	15030	D53	Queen's Gambit Declined	1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Be7 5. Bg5
22	14667	C11	French Defense: Classical Variation	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5
23	14347	E04	Catalan Opening: Open Defense	1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. g3 dxc4 5. Bg2
24	14106	D17	Slav Defense: Czech Variation	1. d4 Nf6 2. Nf3 d5 3. c4 c6 4. Nc3 dxc4 5. a4 Bf5
25	13873	B32	Sicilian Defense: Accelerated Dragon	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6
26	13762	D10	Slav Defense	1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3
27	13697	A15	English Opening: Anglo-Indian Defense, King's Knight Variation	1. Nf3 Nf6 2. c4 e6 3. Nc3
28	13668	A30	English Opening: Symmetrical Variation	1. Nf3 c5 2. c4 Nc6
29	13477	A04	Zukertort Opening: Kingside Fianchetto	1. Nf3 g6
30	13445	A13	English Opening: Agincourt Defense	1. Nf3 d5 2. c4 e6
31	13441	B75	Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3
32	13359	E11	Bogo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2
33	12971	C11	French Defense: Steinitz Variation, Boleslavsky Variation	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Nc6 7. Be3
34	12654	B12	Caro-Kann Defense: Advance Variation, Short Variation	1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2
35	12635	A57	Benko Gambit Accepted	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6
36	12585	D31	Semi-Slav Defense: Accelerated Move Order	1. d4 d5 2. c4 e6 3. Nc3 c6
37	12159	B51	Sicilian Defense: Moscow Variation	1. e4 c5 2. Nf3 d6 3. Bb5+ Nd7
38	12033	A09	Réti Opening	1. Nf3 d5 2. c4 c6
39	12028	C05	French Defense: Tarrasch Variation, Closed Variation	1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7
40	11925	C78	Ruy Lopez: Morphy Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O b5 6. Bb3
41	11902	D11	Slav Defense: Modern Line	1. d4 d5 2. c4 c6 3. Nf3 e6
42	11811	D11	Slav Defense: Quiet Variation	1. d4 Nf6 2. Nf3 d5 3. c4 c6 4. e3 e6
43	11808	C42	Petrov's Defense: Classical Attack	1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3
44	11635	B13	Caro-Kann Defense: Panov Attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3
45	11522	A40	Queen's Pawn Game: Modern Defense	1. d4 g6 2. c4 Bg7
46	11433	C02	French Defense: Advance Variation, Paulsen Attack	1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3
47	11426	B22	Sicilian Defense: Alapin Variation, Barmen Defense	1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4
48	11359	B48	Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be3 a6
49	11255	B90	Sicilian Defense: Najdorf Variation, Adams Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. h3
50	11235	A01	Nimzo-Larsen Attack	1. b3
51	11223	C18	French Defense: Winawer Variation, Advance Variation	1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3 Ne7
52	11217	E12	Queen's Indian Defense: Petrosian Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. a3
